job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
8,0,1000,0.9750,0.0250,2.0000,0.2000,0.2000,0.1000,0.3375,0.7265,0.9644
8,0,1000,0.8500,0.1500,2.0000,0.2000,0.2000,0.1000,0.3995,0.6826,0.9383
8,0,1000,0.7000,0.3000,1.5000,0.2000,0.2000,0.1000,0.3031,0.6078,0.9085
8,0,1000,0.9500,0.0500,2.0000,0.2000,0.2000,0.1000,0.3670,0.7335,0.9620
8,0,1000,0.8500,0.1500,0.5000,0.2000,0.2000,0.1000,0.2919,0.6976,0.9121
8,0,1000,0.8250,0.1750,1.5000,0.5000,0.2000,0.1000,0.1395,0.4641,0.8763
8,0,1000,0.7750,0.2250,1.0000,0.2000,0.2000,0.1000,0.2900,0.6627,0.9225
8,0,1000,0.7750,0.2250,2.0000,0.5000,0.2000,0.1000,0.2227,0.4281,0.8864
8,0,1000,0.8000,0.2000,1.0000,0.5000,0.2000,0.1000,0.2126,0.4711,0.8538
8,0,1000,0.7000,0.3000,2.0000,0.2000,0.2000,0.1000,0.3288,0.5988,0.9106
8,0,1000,0.9750,0.0250,0.5000,0.5000,0.2000,0.1000,0.2161,0.5359,0.8724
8,0,1000,0.7500,0.2500,2.0000,0.5000,0.2000,0.1000,0.2808,0.4371,0.8775
8,0,1000,0.8500,0.1500,0.5000,0.5000,0.2000,0.1000,0.1945,0.5090,0.8497
8,0,1000,0.8750,0.1250,1.0000,0.2000,0.2000,0.1000,0.3711,0.7146,0.9400
8,0,1000,1.0000,0.0000,2.0000,0.5000,0.2000,0.1000,0.1999,0.5240,0.9333
8,0,1000,0.7000,0.3000,1.0000,0.2000,0.2000,0.1000,0.2972,0.6168,0.9012
8,0,1000,0.9000,0.1000,0.5000,0.5000,0.2000,0.1000,0.2323,0.5180,0.8682
8,0,1000,0.8750,0.1250,0.5000,0.5000,0.2000,0.1000,0.1648,0.4850,0.8512
8,0,1000,0.5250,0.4750,0.5000,0.5000,0.2000,0.1000,0.0188,0.3653,0.7694
8,0,1000,0.5250,0.4750,1.5000,0.5000,0.2000,0.1000,0.1138,0.3024,0.7842
8,0,1000,0.5250,0.4750,1.5000,0.2000,0.2000,0.1000,0.2142,0.5140,0.8646
8,0,1000,0.8500,0.1500,2.0000,0.5000,0.2000,0.1000,0.3251,0.4820,0.9022
8,0,1000,0.9500,0.0500,1.5000,0.2000,0.2000,0.1000,0.4061,0.7126,0.9521
8,0,1000,0.6250,0.3750,1.0000,0.5000,0.2000,0.1000,0.1323,0.3782,0.8090
8,0,1000,0.8000,0.2000,1.5000,0.5000,0.2000,0.1000,0.2534,0.4780,0.8830
8,0,1000,0.5750,0.4250,0.5000,0.5000,0.2000,0.1000,0.0290,0.3613,0.7743
8,0,1000,0.8750,0.1250,0.5000,0.2000,0.2000,0.1000,0.2313,0.7116,0.9274
8,0,1000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,0.1101,0.3214,0.7771
8,0,1000,0.8750,0.1250,1.0000,0.5000,0.2000,0.1000,0.2393,0.4541,0.8685
8,0,1000,0.7500,0.2500,0.5000,0.5000,0.2000,0.1000,0.1028,0.4261,0.8089
8,0,1000,0.6500,0.3500,1.0000,0.5000,0.2000,0.1000,0.1504,0.4092,0.8230
8,0,1000,0.6500,0.3500,2.0000,0.5000,0.2000,0.1000,0.2069,0.3603,0.8379
8,0,1000,0.5500,0.4500,0.5000,0.5000,0.2000,0.1000,0.0312,0.3433,0.7566
8,0,1000,0.9750,0.0250,1.5000,0.5000,0.2000,0.1000,0.2627,0.5389,0.9297
8,0,1000,0.8750,0.1250,2.0000,0.5000,0.2000,0.1000,0.3319,0.4900,0.8984
8,0,1000,0.7750,0.2250,0.5000,0.2000,0.2000,0.1000,0.2247,0.6886,0.9067
8,0,1000,0.6000,0.4000,0.5000,0.2000,0.2000,0.1000,0.1591,0.6128,0.8655
8,0,1000,0.6000,0.4000,1.0000,0.2000,0.2000,0.1000,0.2046,0.5629,0.8741
8,0,1000,0.6250,0.3750,1.5000,0.5000,0.2000,0.1000,0.1632,0.3613,0.8248
8,0,1000,0.6000,0.4000,2.0000,0.2000,0.2000,0.1000,0.2865,0.5968,0.9058
8,0,1000,0.6250,0.3750,1.5000,0.2000,0.2000,0.1000,0.3163,0.6068,0.8986
8,0,1000,0.7250,0.2750,1.5000,0.5000,0.2000,0.1000,0.1246,0.4511,0.8644
8,0,1000,0.8500,0.1500,1.0000,0.2000,0.2000,0.1000,0.2192,0.6946,0.9281
8,0,1000,0.7000,0.3000,0.5000,0.5000,0.2000,0.1000,0.0707,0.4192,0.8015
8,0,1000,0.7500,0.2500,0.5000,0.2000,0.2000,0.1000,0.2327,0.6317,0.8872
8,0,1000,0.5750,0.4250,2.0000,0.2000,0.2000,0.1000,0.2736,0.5190,0.8897
8,0,1000,0.8000,0.2000,1.0000,0.2000,0.2000,0.1000,0.3129,0.6627,0.9205
