eta_plus,eta_minus,gamma_plus,gamma_minus,lambda_plus,lambda_minus,spectral_ari,simulated_annealing_ari,condition,run,vary
0.8825000000000001,0.15,0.7,0.2,0.8,0.5,0.19746060894406314,0.3376473050159051,nishimori,0,eta
0.905,0.15,0.7,0.2,0.8,0.5,0.25353567078605377,0.34213188479103046,nishimori,0,eta
0.545,0.15,0.7,0.2,0.8,0.5,0.002454847387412093,-0.001988755949875336,nishimori,0,eta
0.725,0.15,0.7,0.2,0.8,0.5,0.17264175590528671,0.32723018436632134,nishimori,0,eta
0.6125,0.15,0.7,0.2,0.8,0.5,-0.006549244914336584,0.15908832804397732,nishimori,0,eta
0.5675,0.15,0.7,0.2,0.8,0.5,0.006482659058880143,0.13698421109159153,nishimori,0,eta
0.86,0.15,0.7,0.2,0.8,0.5,0.019222152143158054,0.018372550448022145,nishimori,0,eta
0.5,0.15,0.7,0.2,0.8,0.5,-0.004136280587785187,0.008386591248561424,nishimori,0,eta
0.635,0.15,0.7,0.2,0.8,0.5,0.009019423635343207,0.21564718425721874,nishimori,0,eta
0.6575,0.15,0.7,0.2,0.8,0.5,-0.009895285380143793,0.24873156513835915,nishimori,0,eta
0.9275,0.15,0.7,0.2,0.8,0.5,0.2539318599032072,0.344436650034555,nishimori,0,eta
0.59,0.15,0.7,0.2,0.8,0.5,-0.008104371066504735,0.09982490054614745,nishimori,0,eta
0.6799999999999999,0.15,0.7,0.2,0.8,0.5,0.015284394077712553,0.32868280738082317,nishimori,0,eta
0.5225,0.15,0.7,0.2,0.8,0.5,0.02873456437228447,0.10895553274206057,nishimori,0,eta
0.77,0.15,0.7,0.2,0.8,0.5,0.2801699779107581,0.311506070824355,nishimori,0,eta
0.95,0.15,0.7,0.2,0.8,0.5,-0.0018330546102511283,0.013549437770713416,nishimori,0,eta
0.7475,0.15,0.7,0.2,0.8,0.5,-0.008326379708426467,0.4011701825211804,nishimori,0,eta
0.815,0.15,0.7,0.2,0.8,0.5,0.3922055015393977,0.35693023442796395,nishimori,0,eta
0.7025,0.15,0.7,0.2,0.8,0.5,0.1369730511226195,0.3355345104877024,nishimori,0,eta
0.8374999999999999,0.15,0.7,0.2,0.8,0.5,0.2560409983693481,0.29606970988077785,nishimori,0,eta
0.7925,0.15,0.7,0.2,0.8,0.5,0.18918697895572284,0.24176728561243915,nishimori,0,eta
0.5225,0.15,0.7,0.2,0.8,0.5,-0.006601381554020495,0.004090997881417823,guess,0,eta
0.545,0.15,0.7,0.2,0.8,0.5,0.0016107944851762573,0.013681321020152286,guess,0,eta
0.6125,0.15,0.7,0.2,0.8,0.5,-0.0014964676973482133,0.20943055808956193,guess,0,eta
0.7475,0.15,0.7,0.2,0.8,0.5,0.0001795710908259304,0.10492733933380237,guess,0,eta
0.8374999999999999,0.15,0.7,0.2,0.8,0.5,0.1454640507402914,0.10852130923100059,guess,0,eta
0.815,0.15,0.7,0.2,0.8,0.5,0.17349165934934477,0.22219773494323955,guess,0,eta
0.8825000000000001,0.15,0.7,0.2,0.8,0.5,0.12407683934385723,0.07096444938768248,guess,0,eta
0.6799999999999999,0.15,0.7,0.2,0.8,0.5,0.0067554717829938354,0.09407110736124381,guess,0,eta
0.9275,0.15,0.7,0.2,0.8,0.5,0.32871377464674256,0.04254156136703399,guess,0,eta
0.86,0.15,0.7,0.2,0.8,0.5,0.1582970384960689,0.32029949194608753,guess,0,eta
0.7025,0.15,0.7,0.2,0.8,0.5,0.004369688632655064,0.11979343139889471,guess,0,eta
0.905,0.15,0.7,0.2,0.8,0.5,0.152288666220012,0.0899921197014928,guess,0,eta
0.7925,0.15,0.7,0.2,0.8,0.5,-0.015239525104038365,0.24603500798126882,guess,0,eta
0.6575,0.15,0.7,0.2,0.8,0.5,-0.0087570212490827,0.124737768021149,guess,0,eta
0.635,0.15,0.7,0.2,0.8,0.5,0.044338960920410626,0.10325185020727816,guess,0,eta
0.95,0.15,0.7,0.2,0.8,0.5,0.23411968306139996,0.021877207666101153,guess,0,eta
0.5,0.15,0.7,0.2,0.8,0.5,0.0005710700106536494,0.01779089139383172,guess,0,eta
0.59,0.15,0.7,0.2,0.8,0.5,0.002474638572524276,0.05722904188844756,guess,0,eta
0.725,0.15,0.7,0.2,0.8,0.5,0.3255624388653407,0.16481878799352137,guess,0,eta
0.5675,0.15,0.7,0.2,0.8,0.5,0.021770686718117785,-0.005100983701042389,guess,0,eta
0.77,0.15,0.7,0.2,0.8,0.5,0.22117548812318155,0.07769353100089163,guess,0,eta
0.8,0.15,0.7,0.2,1.7075,0.5,0.4738124785818614,0.28814151430688884,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.0250000000000001,0.5,0.31145996860282577,0.28885400313971743,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.1225,0.5,0.14149629194461413,0.0019710390335274434,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.415,0.5,0.41952722354334815,0.4855207383641737,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.7325,0.5,0.24095871156728293,0.20170904477270446,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.9025,0.5,0.5097509639569039,0.4946808510638298,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.14750000000000002,0.5,-0.0057371196702058255,0.08782466886758682,nishimori,0,lambda
0.8,0.15,0.7,0.2,2.0,0.5,0.48843824263876184,0.3923397349202056,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.5375000000000001,0.5,0.007883047677888423,0.14846155787773235,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.22,0.5,0.11913491016974424,0.24598007070307912,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.34249999999999997,0.5,0.004031704928053831,0.0077337000754564,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.635,0.5,-0.0010490768465168923,0.18920065224063454,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.61,0.5,0.7158697642569485,0.47881395752824285,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.05,0.5,-0.0037189834168634,0.2540913310524793,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.8050000000000002,0.5,0.6016689602958979,0.3954566866622092,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.5125000000000002,0.5,0.41560881293352214,0.4163563297176872,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.44,0.5,0.21377689828336296,0.47659430383801493,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.9275000000000001,0.5,0.15133981424355106,0.166830922439774,nishimori,0,lambda
0.8,0.15,0.7,0.2,1.3175000000000001,0.5,0.31262905766813437,0.23879508744938271,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.245,0.5,0.001050685672747389,0.2286379434637929,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.8300000000000001,0.5,-0.014471191787555602,0.333881068767311,nishimori,0,lambda
0.8,0.15,0.7,0.2,0.8300000000000001,0.5,0.2897657322279858,0.13686868545481523,guess,0,lambda
0.8,0.15,0.7,0.2,0.34249999999999997,0.5,-0.01277501496895273,0.0778455890822855,guess,0,lambda
0.8,0.15,0.7,0.2,1.415,0.5,0.4291070962658386,0.3124528662087822,guess,0,lambda
0.8,0.15,0.7,0.2,1.5125000000000002,0.5,0.591457213424379,0.2889149823180179,guess,0,lambda
0.8,0.15,0.7,0.2,1.61,0.5,0.40107610456468396,0.2705202833728955,guess,0,lambda
0.8,0.15,0.7,0.2,0.9275000000000001,0.5,0.19080620258640396,0.12784447723764322,guess,0,lambda
0.8,0.15,0.7,0.2,1.1225,0.5,0.22964917586513814,0.13692299366215194,guess,0,lambda
0.8,0.15,0.7,0.2,1.8050000000000002,0.5,0.46242993939330923,0.407867076545216,guess,0,lambda
